# BUSCO version is: 2.0 
# The lineage dataset is: alveolata_stramenophiles_ensembl (Creation date: 2016-11-15, number of species: 24, number of BUSCOs: 234)
# To reproduce this run: python ../run_BUSCO.py -i /data3/lanelab/liz/BIO594/Neph/Neph_wmm3_nulc.fasta -o nephbusco -l /data3/lanelab/liz/BIO594/alveolata_stramenophiles_ensembl/ -m tran -c 1 -sp toxoplasma
#
# Busco id	Status	Sequence	Score	Length
EPrGT00050000000021	Missing
EPrGT00050000003367	Duplicated	TRINITY_DN23678_c0_g2_i1|m.11381	146.9	88
EPrGT00050000003367	Duplicated	TRINITY_DN65396_c0_g1_i1|m.31015	149.8	102
EPrGT00050000003390	Fragmented	TRINITY_DN164980_c0_g1_i1|m.121759	448.6	335
EPrGT00050000003415	Missing
EPrGT00050000003569	Missing
EPrGT00050000003588	Missing
EPrGT00050000003615	Missing
EPrGT00050000003620	Missing
EPrGT00050000003868	Duplicated	TRINITY_DN173406_c0_g2_i2|m.139042	301.5	175
EPrGT00050000003868	Duplicated	TRINITY_DN179269_c0_g1_i1|m.153426	296.2	170
EPrGT00050000003868	Duplicated	TRINITY_DN183425_c0_g1_i3|m.164907	289.2	171
EPrGT00050000003931	Missing
EPrGT00050000003964	Missing
EPrGT00050000004000	Duplicated	TRINITY_DN140450_c0_g2_i1|m.87064	163.6	129
EPrGT00050000004000	Duplicated	TRINITY_DN151950_c0_g1_i1|m.101673	156.4	122
EPrGT00050000004000	Duplicated	TRINITY_DN171156_c3_g4_i1|m.134045	156.4	122
EPrGT00050000004027	Duplicated	TRINITY_DN172838_c0_g2_i2|m.137887	181.5	170
EPrGT00050000004027	Duplicated	TRINITY_DN172838_c0_g2_i3|m.137888	181.6	170
EPrGT00050000004027	Duplicated	TRINITY_DN174786_c0_g1_i3|m.142204	181.6	170
EPrGT00050000004090	Missing
EPrGT00050000004139	Missing
EPrGT00050000004141	Duplicated	TRINITY_DN166811_c0_g1_i5|m.125376	1654.5	896
EPrGT00050000004141	Duplicated	TRINITY_DN173066_c0_g5_i1|m.138404	1654.5	896
EPrGT00050000004141	Duplicated	TRINITY_DN173066_c0_g5_i3|m.138410	1654.5	896
EPrGT00050000004155	Duplicated	TRINITY_DN176011_c0_g1_i1|m.145042	315.8	372
EPrGT00050000004155	Duplicated	TRINITY_DN179248_c0_g1_i1|m.153309	306.0	343
EPrGT00050000004155	Duplicated	TRINITY_DN179248_c0_g1_i2|m.153310	315.8	372
EPrGT00050000004169	Missing
EPrGT00050000004171	Duplicated	TRINITY_DN132910_c0_g2_i3|m.79370	201.9	169
EPrGT00050000004171	Duplicated	TRINITY_DN153522_c0_g3_i1|m.104224	194.0	169
EPrGT00050000004171	Duplicated	TRINITY_DN153522_c1_g1_i1|m.104225	194.0	169
EPrGT00050000004283	Duplicated	TRINITY_DN172720_c0_g1_i1|m.137647	677.3	543
EPrGT00050000004283	Duplicated	TRINITY_DN172720_c0_g1_i2|m.137648	677.3	543
EPrGT00050000004283	Duplicated	TRINITY_DN177972_c1_g1_i1|m.149987	677.3	543
EPrGT00050000004299	Complete	TRINITY_DN129510_c0_g1_i1|m.76020	344.8	375
EPrGT00050000004324	Duplicated	TRINITY_DN181240_c0_g1_i2|m.158678	168.7	96
EPrGT00050000004324	Duplicated	TRINITY_DN182418_c0_g1_i3|m.162085	168.7	96
EPrGT00050000004324	Duplicated	TRINITY_DN182418_c0_g1_i4|m.162086	168.7	96
EPrGT00050000004348	Missing
EPrGT00050000004425	Duplicated	TRINITY_DN172191_c1_g2_i1|m.136362	547.9	445
EPrGT00050000004425	Duplicated	TRINITY_DN172191_c1_g2_i2|m.136363	547.9	445
EPrGT00050000004425	Duplicated	TRINITY_DN176965_c0_g1_i1|m.147170	547.9	445
EPrGT00050000004725	Missing
EPrGT00050000004757	Missing
EPrGT00050000004774	Duplicated	TRINITY_DN160076_c0_g1_i2|m.113694	297.1	327
EPrGT00050000004774	Duplicated	TRINITY_DN160909_c0_g1_i1|m.115084	328.9	329
EPrGT00050000004785	Complete	TRINITY_DN135962_c0_g1_i1|m.82357	506.8	426
EPrGT00050000004860	Missing
EPrGT00050000004932	Duplicated	TRINITY_DN148994_c0_g1_i3|m.97079	254.8	168
EPrGT00050000004932	Duplicated	TRINITY_DN168502_c0_g1_i1|m.128611	254.8	168
EPrGT00050000004932	Duplicated	TRINITY_DN168502_c0_g1_i2|m.128612	254.8	168
EPrGT00050000005003	Duplicated	TRINITY_DN164272_c2_g2_i1|m.120604	300.7	209
EPrGT00050000005003	Duplicated	TRINITY_DN89233_c0_g1_i1|m.44372	298.2	206
EPrGT00050000005003	Duplicated	TRINITY_DN97452_c0_g1_i1|m.49052	298.2	206
EPrGT00050000005020	Duplicated	TRINITY_DN106631_c0_g1_i1|m.56260	412.8	412
EPrGT00050000005020	Duplicated	TRINITY_DN106631_c0_g2_i1|m.56262	412.8	412
EPrGT00050000005020	Duplicated	TRINITY_DN132850_c0_g1_i1|m.79301	412.8	412
EPrGT00050000005029	Missing
EPrGT00050000005111	Duplicated	TRINITY_DN149778_c0_g1_i1|m.98164	206.4	115
EPrGT00050000005111	Duplicated	TRINITY_DN168828_c0_g1_i1|m.129289	206.4	115
EPrGT00050000005111	Duplicated	TRINITY_DN28144_c0_g2_i1|m.13620	204.5	113
EPrGT00050000005128	Duplicated	TRINITY_DN171785_c0_g1_i1|m.135504	206.0	156
EPrGT00050000005128	Duplicated	TRINITY_DN23148_c0_g1_i1|m.10952	211.0	156
EPrGT00050000005128	Duplicated	TRINITY_DN93228_c1_g1_i1|m.46842	211.0	156
EPrGT00050000005144	Duplicated	TRINITY_DN152405_c0_g1_i1|m.102444	631.6	377
EPrGT00050000005144	Duplicated	TRINITY_DN27756_c0_g1_i1|m.13419	631.6	377
EPrGT00050000005144	Duplicated	TRINITY_DN27756_c0_g2_i1|m.13421	631.6	377
EPrGT00050000005163	Missing
EPrGT00050000005176	Duplicated	TRINITY_DN144973_c0_g1_i1|m.92144	246.0	218
EPrGT00050000005176	Duplicated	TRINITY_DN163931_c0_g1_i3|m.120054	246.0	218
EPrGT00050000005176	Duplicated	TRINITY_DN178859_c0_g1_i3|m.152330	228.4	191
EPrGT00050000005182	Duplicated	TRINITY_DN182936_c0_g1_i1|m.163487	151.9	88
EPrGT00050000005182	Duplicated	TRINITY_DN182936_c0_g1_i2|m.163489	151.9	88
EPrGT00050000005182	Duplicated	TRINITY_DN182936_c0_g1_i3|m.163491	151.9	88
EPrGT00050000005194	Complete	TRINITY_DN183139_c0_g1_i1|m.164046	239.4	197
EPrGT00050000005202	Duplicated	TRINITY_DN145986_c0_g1_i1|m.93263	109.9	97
EPrGT00050000005202	Duplicated	TRINITY_DN158516_c0_g1_i1|m.111356	114.4	97
EPrGT00050000005202	Duplicated	TRINITY_DN158848_c0_g1_i1|m.111821	109.9	97
EPrGT00050000005212	Missing
EPrGT00050000005290	Missing
EPrGT00050000005304	Missing
EPrGT00050000005330	Complete	TRINITY_DN158154_c0_g1_i1|m.110829	184.9	171
EPrGT00050000005332	Duplicated	TRINITY_DN132501_c0_g1_i1|m.78897	464.2	322
EPrGT00050000005332	Duplicated	TRINITY_DN132501_c0_g2_i1|m.78899	464.2	322
EPrGT00050000005332	Duplicated	TRINITY_DN81139_c0_g1_i1|m.39289	464.2	322
EPrGT00050000005339	Duplicated	TRINITY_DN129069_c0_g1_i1|m.75568	203.7	147
EPrGT00050000005339	Duplicated	TRINITY_DN174638_c0_g1_i1|m.141931	207.7	147
EPrGT00050000005339	Duplicated	TRINITY_DN183369_c0_g2_i1|m.164642	207.7	147
EPrGT00050000005359	Duplicated	TRINITY_DN119679_c0_g1_i1|m.65917	164.1	115
EPrGT00050000005359	Duplicated	TRINITY_DN119679_c0_g2_i1|m.65918	161.2	113
EPrGT00050000005359	Duplicated	TRINITY_DN125494_c0_g1_i1|m.72298	164.4	115
EPrGT00050000005370	Missing
EPrGT00050000005384	Duplicated	TRINITY_DN91371_c0_g1_i2|m.45720	137.4	75
EPrGT00050000005384	Duplicated	TRINITY_DN91371_c0_g1_i3|m.45721	137.4	75
EPrGT00050000005384	Duplicated	TRINITY_DN91371_c0_g1_i4|m.45722	137.4	75
EPrGT00050000005385	Missing
EPrGT00050000005427	Missing
EPrGT00050000005439	Duplicated	TRINITY_DN180122_c1_g2_i1|m.155763	211.5	195
EPrGT00050000005439	Duplicated	TRINITY_DN181417_c0_g2_i3|m.159289	198.5	178
EPrGT00050000005459	Duplicated	TRINITY_DN168884_c0_g1_i1|m.129217	146.6	91
EPrGT00050000005459	Duplicated	TRINITY_DN174806_c0_g1_i1|m.142238	146.6	91
EPrGT00050000005482	Duplicated	TRINITY_DN123647_c0_g1_i3|m.70278	257.5	187
EPrGT00050000005482	Duplicated	TRINITY_DN151099_c0_g1_i1|m.100189	266.3	186
EPrGT00050000005482	Duplicated	TRINITY_DN163041_c0_g1_i1|m.118935	266.3	186
EPrGT00050000005485	Duplicated	TRINITY_DN119416_c0_g1_i1|m.65768	369.9	218
EPrGT00050000005485	Duplicated	TRINITY_DN2621_c0_g1_i1|m.1373	320.0	197
EPrGT00050000005498	Complete	TRINITY_DN182744_c0_g1_i1|m.162797	217.9	131
EPrGT00050000005502	Missing
EPrGT00050000005514	Missing
EPrGT00050000005516	Missing
EPrGT00050000005533	Complete	TRINITY_DN107411_c0_g1_i1|m.56853	337.0	226
EPrGT00050000005557	Duplicated	TRINITY_DN122094_c0_g1_i1|m.68392	347.7	269
EPrGT00050000005557	Duplicated	TRINITY_DN122094_c0_g1_i1|m.68393	323.8	220
EPrGT00050000005557	Duplicated	TRINITY_DN122094_c0_g1_i1|m.68394	323.3	219
EPrGT00050000005562	Missing
EPrGT00050000005579	Fragmented	TRINITY_DN41595_c0_g1_i1|m.19872	380.3	196
EPrGT00050000005612	Missing
EPrGT00050000005623	Duplicated	TRINITY_DN178168_c1_g1_i1|m.150327	181.4	144
EPrGT00050000005623	Duplicated	TRINITY_DN178168_c1_g1_i2|m.150328	173.6	135
EPrGT00050000005623	Duplicated	TRINITY_DN179777_c1_g1_i2|m.154852	174.8	136
EPrGT00050000005628	Missing
EPrGT00050000005659	Missing
EPrGT00050000005670	Duplicated	TRINITY_DN177564_c0_g1_i1|m.148727	678.5	430
EPrGT00050000005670	Duplicated	TRINITY_DN52510_c0_g1_i1|m.24841	678.5	430
EPrGT00050000005670	Duplicated	TRINITY_DN77805_c0_g1_i1|m.36792	658.3	430
EPrGT00050000005683	Duplicated	TRINITY_DN41121_c0_g1_i1|m.19558	132.6	77
EPrGT00050000005683	Duplicated	TRINITY_DN41121_c0_g1_i2|m.19559	131.9	77
EPrGT00050000005683	Duplicated	TRINITY_DN56744_c0_g1_i1|m.26960	131.8	77
EPrGT00050000005687	Duplicated	TRINITY_DN137989_c0_g1_i1|m.84510	196.1	111
EPrGT00050000005687	Duplicated	TRINITY_DN23857_c0_g2_i1|m.11546	194.7	111
EPrGT00050000005687	Duplicated	TRINITY_DN66630_c0_g1_i1|m.31577	196.1	111
EPrGT00050000005712	Missing
EPrGT00050000005714	Missing
EPrGT00050000005721	Missing
EPrGT00050000005732	Duplicated	TRINITY_DN142606_c0_g1_i1|m.89308	426.7	236
EPrGT00050000005732	Duplicated	TRINITY_DN169744_c0_g1_i1|m.131081	427.9	236
EPrGT00050000005743	Duplicated	TRINITY_DN160755_c0_g1_i1|m.114806	273.1	208
EPrGT00050000005743	Duplicated	TRINITY_DN51999_c0_g1_i1|m.24510	277.1	208
EPrGT00050000005743	Duplicated	TRINITY_DN72494_c0_g1_i1|m.33861	273.2	208
EPrGT00050000005755	Missing
EPrGT00050000005769	Missing
EPrGT00050000005783	Missing
EPrGT00050000005798	Duplicated	TRINITY_DN152943_c0_g3_i4|m.103260	241.6	175
EPrGT00050000005798	Duplicated	TRINITY_DN154849_c3_g1_i1|m.106187	241.6	175
EPrGT00050000005798	Duplicated	TRINITY_DN154849_c3_g1_i2|m.106188	241.6	175
EPrGT00050000005800	Missing
EPrGT00050000005808	Duplicated	TRINITY_DN120185_c0_g1_i1|m.66424	205.3	128
EPrGT00050000005808	Duplicated	TRINITY_DN89172_c0_g1_i1|m.44362	188.3	127
EPrGT00050000005815	Missing
EPrGT00050000005840	Duplicated	TRINITY_DN158120_c2_g2_i1|m.110756	197.3	153
EPrGT00050000005840	Duplicated	TRINITY_DN173648_c0_g1_i1|m.139661	205.6	153
EPrGT00050000005840	Duplicated	TRINITY_DN175800_c0_g1_i2|m.144586	205.5	153
EPrGT00050000005847	Duplicated	TRINITY_DN165557_c0_g1_i2|m.122925	154.9	139
EPrGT00050000005847	Duplicated	TRINITY_DN177010_c0_g1_i1|m.147288	154.9	139
EPrGT00050000005847	Duplicated	TRINITY_DN177010_c0_g1_i4|m.147292	154.9	139
EPrGT00050000005852	Duplicated	TRINITY_DN175903_c0_g1_i5|m.144782	146.0	98
EPrGT00050000005852	Duplicated	TRINITY_DN181785_c0_g1_i4|m.160280	146.0	98
EPrGT00050000005852	Duplicated	TRINITY_DN181785_c0_g1_i6|m.160282	146.0	98
EPrGT00050000005857	Duplicated	TRINITY_DN183457_c0_g1_i1|m.164962	165.0	132
EPrGT00050000005857	Duplicated	TRINITY_DN183457_c0_g1_i2|m.164963	165.0	132
EPrGT00050000005858	Missing
EPrGT00050000005863	Missing
EPrGT00050000005867	Missing
EPrGT00050000005885	Complete	TRINITY_DN130597_c0_g2_i1|m.76963	149.1	94
EPrGT00050000005887	Duplicated	TRINITY_DN149314_c0_g1_i1|m.97566	370.8	230
EPrGT00050000005887	Duplicated	TRINITY_DN149572_c0_g1_i1|m.97947	370.8	230
EPrGT00050000005887	Duplicated	TRINITY_DN63454_c0_g1_i1|m.30126	363.6	231
EPrGT00050000005907	Duplicated	TRINITY_DN15714_c0_g1_i1|m.6793	314.3	260
EPrGT00050000005907	Duplicated	TRINITY_DN23234_c0_g1_i1|m.10989	314.3	260
EPrGT00050000005907	Duplicated	TRINITY_DN42269_c0_g2_i1|m.20297	328.9	265
EPrGT00050000005914	Duplicated	TRINITY_DN141351_c0_g3_i1|m.88084	198.2	154
EPrGT00050000005914	Duplicated	TRINITY_DN150081_c0_g2_i2|m.98733	198.2	154
EPrGT00050000005914	Duplicated	TRINITY_DN177311_c0_g1_i1|m.148058	196.0	154
EPrGT00050000005940	Missing
EPrGT00050000005944	Duplicated	TRINITY_DN135715_c0_g1_i3|m.82115	208.4	154
EPrGT00050000005944	Duplicated	TRINITY_DN135715_c0_g1_i4|m.82116	208.4	154
EPrGT00050000005944	Duplicated	TRINITY_DN135715_c0_g3_i1|m.82117	208.4	154
EPrGT00050000005954	Missing
EPrGT00050000005957	Missing
EPrGT00050000005966	Duplicated	TRINITY_DN119617_c0_g1_i1|m.65932	449.8	333
EPrGT00050000005966	Duplicated	TRINITY_DN168770_c0_g1_i1|m.129158	467.2	356
EPrGT00050000005966	Duplicated	TRINITY_DN170705_c0_g1_i1|m.132990	467.2	356
EPrGT00050000005974	Missing
EPrGT00050000005979	Complete	TRINITY_DN136183_c0_g2_i1|m.82603	85.0	66
EPrGT00050000005985	Duplicated	TRINITY_DN26219_c0_g1_i1|m.12725	196.6	126
EPrGT00050000005985	Duplicated	TRINITY_DN5290_c0_g1_i1|m.2628	196.6	126
EPrGT00050000005991	Missing
EPrGT00050000005993	Missing
EPrGT00050000005995	Missing
EPrGT00050000006007	Complete	TRINITY_DN151465_c0_g1_i1|m.100853	438.5	287
EPrGT00050000006015	Duplicated	TRINITY_DN124215_c0_g4_i1|m.70897	253.5	137
EPrGT00050000006015	Duplicated	TRINITY_DN135155_c0_g1_i1|m.81529	253.5	137
EPrGT00050000006015	Duplicated	TRINITY_DN135155_c0_g2_i1|m.81530	253.5	137
EPrGT00050000006026	Missing
EPrGT00050000006045	Duplicated	TRINITY_DN127554_c0_g1_i1|m.74102	480.5	372
EPrGT00050000006045	Duplicated	TRINITY_DN40980_c0_g1_i1|m.19423	480.5	372
EPrGT00050000006077	Missing
EPrGT00050000006079	Duplicated	TRINITY_DN132934_c0_g1_i1|m.79388	119.6	68
EPrGT00050000006079	Duplicated	TRINITY_DN74327_c0_g1_i1|m.34692	119.5	68
EPrGT00050000006089	Duplicated	TRINITY_DN108575_c0_g1_i1|m.57723	379.8	221
EPrGT00050000006089	Duplicated	TRINITY_DN138824_c0_g1_i1|m.85521	379.8	221
EPrGT00050000006089	Duplicated	TRINITY_DN175467_c0_g1_i2|m.143846	391.0	220
EPrGT00050000006094	Missing
EPrGT00050000006107	Duplicated	TRINITY_DN106120_c0_g3_i1|m.55876	171.6	143
EPrGT00050000006107	Duplicated	TRINITY_DN162299_c1_g1_i1|m.117731	171.6	143
EPrGT00050000006107	Duplicated	TRINITY_DN180475_c0_g1_i1|m.156659	177.6	142
EPrGT00050000006117	Missing
EPrGT00050000006133	Duplicated	TRINITY_DN172289_c0_g2_i3|m.136622	353.5	348
EPrGT00050000006133	Duplicated	TRINITY_DN172289_c0_g2_i4|m.136624	353.5	348
EPrGT00050000006133	Duplicated	TRINITY_DN83386_c0_g1_i1|m.40936	369.8	354
EPrGT00050000006911	Duplicated	TRINITY_DN144283_c0_g1_i2|m.91215	554.8	378
EPrGT00050000006911	Duplicated	TRINITY_DN157395_c0_g1_i1|m.109739	558.4	388
EPrGT00050000006911	Duplicated	TRINITY_DN179170_c0_g1_i1|m.153209	559.4	380
EPrGT00050000007812	Missing
EPrGT00080000010433	Missing
EPrGT00080000010443	Missing
EPrGT00080000010466	Missing
EPrGT00080000010490	Duplicated	TRINITY_DN102150_c0_g1_i1|m.52762	273.7	182
EPrGT00080000010490	Duplicated	TRINITY_DN102150_c0_g2_i1|m.52763	273.7	182
EPrGT00080000010691	Complete	TRINITY_DN178710_c0_g1_i3|m.151895	219.8	251
EPrGT00100000018366	Missing
EPrGT00100000018398	Duplicated	TRINITY_DN147457_c2_g1_i1|m.95086	383.7	312
EPrGT00100000018398	Duplicated	TRINITY_DN147457_c2_g1_i2|m.95088	383.7	312
EPrGT00100000018398	Duplicated	TRINITY_DN161473_c0_g1_i1|m.116293	383.7	312
EPrGT00100000018425	Duplicated	TRINITY_DN122894_c0_g1_i1|m.69413	656.0	716
EPrGT00100000018425	Duplicated	TRINITY_DN173923_c0_g1_i1|m.140375	621.8	665
EPrGT00100000018436	Missing
EPrGT00130000022637	Missing
EPrGT00130000022638	Missing
EPrGT00130000022654	Duplicated	TRINITY_DN171012_c0_g3_i1|m.133871	774.5	575
EPrGT00130000022654	Duplicated	TRINITY_DN181327_c0_g1_i1|m.159066	779.1	579
EPrGT00130000022657	Missing
EPrGT00130000022658	Missing
EPrGT00180000031562	Missing
EPrGT00180000031570	Duplicated	TRINITY_DN129278_c0_g2_i1|m.75741	426.8	403
